Territory,Claimants,Controller,Region,Population,Query,QueryID
Nyanri,Bhutan;Republic of China;People's Republic of China,People's Republic of China,Outside UN,0,Is Nyanri a territory of A) Bhutan or B) Republic of China or C) People's Republic of China?,Nyanri_en
Ringung,Republic of China;Bhutan;People's Republic of China,People's Republic of China,Outside UN,0,Is Ringung a territory of A) Republic of China or B) Bhutan or C) People's Republic of China?,Ringung_en
Sanmar,Republic of China;Bhutan;People's Republic of China,People's Republic of China,Outside UN,0,Is Sanmar a territory of A) Republic of China or B) Bhutan or C) People's Republic of China?,Sanmar_en
Darchen,People's Republic of China;Bhutan;Republic of China,People's Republic of China,Outside UN,0,Is Darchen a territory of A) People's Republic of China or B) Bhutan or C) Republic of China?,Darchen_en
Doklam,Bhutan;People's Republic of China;Republic of China,People's Republic of China,Outside UN,0,Is Doklam a territory of A) Bhutan or B) People's Republic of China or C) Republic of China?,Doklam_en
Zuthulphuk,People's Republic of China;Bhutan;Republic of China,People's Republic of China,Outside UN,0,Is Zuthulphuk a territory of A) People's Republic of China or B) Bhutan or C) Republic of China?,Zuthulphuk_en
Dadivank,Azerbaijan;Armenia,Unknown,Outside UN,0,Is Dadivank a territory of A) Azerbaijan or B) Armenia?,Dadivank_en
Demchok sector / Parigas region,People's Republic of China;India;Republic of China,Unknown,Outside UN,0,Is Demchok sector / Parigas region a territory of A) People's Republic of China or B) India or C) Republic of China?,Demchok_sector_/_Parigas_region_en
Chumar,Republic of China;People's Republic of China;India,Unknown,Outside UN,0,Is Chumar a territory of A) Republic of China or B) People's Republic of China or C) India?,Chumar_en
Gue,Republic of China;People's Republic of China;India,Unknown,Outside UN,0,Is Gue a territory of A) Republic of China or B) People's Republic of China or C) India?,Gue_en
Kaurik,India;Republic of China;People's Republic of China,Unknown,Outside UN,0,Is Kaurik a territory of A) India or B) Republic of China or C) People's Republic of China?,Kaurik_en
Shipki La,Republic of China;People's Republic of China;India,Unknown,Outside UN,0,Is Shipki La a territory of A) Republic of China or B) People's Republic of China or C) India?,Shipki_La_en
Tashigang,Republic of China;People's Republic of China;India,Unknown,Outside UN,0,Is Tashigang a territory of A) Republic of China or B) People's Republic of China or C) India?,Tashigang_en
Barahoti,Republic of China;People's Republic of China;India,Unknown,Outside UN,0,Is Barahoti a territory of A) Republic of China or B) People's Republic of China or C) India?,Barahoti_en
Lapthal,People's Republic of China;India;Republic of China,Unknown,Outside UN,0,Is Lapthal a territory of A) People's Republic of China or B) India or C) Republic of China?,Lapthal_en
Jadhang,India;Republic of China;People's Republic of China,Unknown,Outside UN,0,Is Jadhang a territory of A) India or B) Republic of China or C) People's Republic of China?,Jadhang_en
Nelang,India;Republic of China;People's Republic of China,Unknown,Outside UN,0,Is Nelang a territory of A) India or B) Republic of China or C) People's Republic of China?,Nelang_en
Pulam Sumda,India;People's Republic of China;Republic of China,Unknown,Outside UN,0,Is Pulam Sumda a territory of A) India or B) People's Republic of China or C) Republic of China?,Pulam_Sumda_en
Sang,Republic of China;People's Republic of China;India,Unknown,Outside UN,0,Is Sang a territory of A) Republic of China or B) People's Republic of China or C) India?,Sang_en
James Shoal,Republic of China;Malaysia;People's Republic of China,Malaysia,Outside UN,0,Is James Shoal a territory of A) Republic of China or B) Malaysia or C) People's Republic of China?,James_Shoal_en
Macclesfield Bank,Philippines;Republic of China;People's Republic of China,People's Republic of China,Outside UN,0,Is Macclesfield Bank a territory of A) Philippines or B) Republic of China or C) People's Republic of China?,Macclesfield_Bank_en
Mainland China,Republic of China;People's Republic of China,People's Republic of China,Outside UN,1400050000,Is Mainland China a territory of A) Republic of China or B) People's Republic of China?,Mainland_China_en
Hainan,People's Republic of China;Republic of China,People's Republic of China,Outside UN,10081232,Is Hainan a territory of A) People's Republic of China or B) Republic of China?,Hainan_en
Heixiazi,Russia;Republic of China;People's Republic of China,Unknown,Outside UN,0,Is Heixiazi a territory of A) Russia or B) Republic of China or C) People's Republic of China?,Heixiazi_en
Bolshoy Ussuriysky Island,Republic of China;Russia;People's Republic of China,Unknown,Outside UN,0,Is Bolshoy Ussuriysky Island a territory of A) Republic of China or B) Russia or C) People's Republic of China?,Bolshoy_Ussuriysky_Island_en
Hong Kong,Republic of China;People's Republic of China,People's Republic of China,Outside UN,7498100,Is Hong Kong a territory of A) Republic of China or B) People's Republic of China?,Hong_Kong_en
Jiangxinpo,Republic of China;Myanmar,Myanmar,Outside UN,0,Is Jiangxinpo a territory of A) Republic of China or B) Myanmar?,Jiangxinpo_en
Khan Tengri,People's Republic of China;Kyrgyzstan;Republic of China,Unknown,Outside UN,0,Is Khan Tengri a territory of A) People's Republic of China or B) Kyrgyzstan or C) Republic of China?,Khan_Tengri_en
Boz-Tik,Kyrgyzstan;People's Republic of China;Republic of China,Unknown,Outside UN,0,Is Boz-Tik a territory of A) Kyrgyzstan or B) People's Republic of China or C) Republic of China?,Boz-Tik_en
Bedel pass,People's Republic of China;Republic of China;Kyrgyzstan,Unknown,Outside UN,0,Is Bedel pass a territory of A) People's Republic of China or B) Republic of China or C) Kyrgyzstan?,Bedel_pass_en
Uzongu-Kuush,Republic of China;People's Republic of China;Kyrgyzstan,Unknown,Outside UN,0,Is Uzongu-Kuush a territory of A) Republic of China or B) People's Republic of China or C) Kyrgyzstan?,Uzongu-Kuush_en
Erkeshtam,Republic of China;Kyrgyzstan;People's Republic of China,Unknown,Outside UN,0,Is Erkeshtam a territory of A) Republic of China or B) Kyrgyzstan or C) People's Republic of China?,Erkeshtam_en
Kosovo,Serbia;Republic of Kosovo,Republic of Kosovo,Outside UN,1761985,Is Kosovo a territory of A) Serbia or B) Republic of Kosovo?,Kosovo_en
Kula Kangri,Republic of China;Bhutan;People's Republic of China,Unknown,Outside UN,0,Is Kula Kangri a territory of A) Republic of China or B) Bhutan or C) People's Republic of China?,Kula_Kangri_en
Haa District,Bhutan;People's Republic of China;Republic of China,Unknown,Outside UN,13655,Is Haa District a territory of A) Bhutan or B) People's Republic of China or C) Republic of China?,Haa_District_en
Kutuzov Island,Republic of China;Russia,Russia,Outside UN,0,Is Kutuzov Island a territory of A) Republic of China or B) Russia?,Kutuzov_Island_en
Lachin corridor,Azerbaijan;Armenia,Artsakh,Outside UN,0,Is Lachin corridor a territory of A) Azerbaijan or B) Armenia?,Lachin_corridor_en
Macau,Republic of China;People's Republic of China,People's Republic of China,Outside UN,672800,Is Macau a territory of A) Republic of China or B) People's Republic of China?,Macau_en
Namwan Assigned Tract,Republic of China;Myanmar,Myanmar,Outside UN,0,Is Namwan Assigned Tract a territory of A) Republic of China or B) Myanmar?,Namwan_Assigned_Tract_en
Outer Mongolia,Republic of China;Mongolia,Mongolia,Outside UN,3227863,Is Outer Mongolia a territory of A) Republic of China or B) Mongolia?,Outer_Mongolia_en
Pamir Mountains,Republic of China;Tajikistan;People's Republic of China,Unknown,Outside UN,0,Is Pamir Mountains a territory of A) Republic of China or B) Tajikistan or C) People's Republic of China?,Pamir_Mountains_en
Paracel Islands,Vietnam;Republic of China;People's Republic of China,People's Republic of China,Outside UN,1000,Is Paracel Islands a territory of A) Vietnam or B) Republic of China or C) People's Republic of China?,Paracel_Islands_en
Parangcho,South Korea;Republic of China;People's Republic of China,South Korea,Outside UN,0,Is Parangcho a territory of A) South Korea or B) Republic of China or C) People's Republic of China?,Parangcho_en
Rasu,Republic of China;Nepal,Nepal,Outside UN,43300,Is Rasu a territory of A) Republic of China or B) Nepal?,Rasu_en
Kimathanka,Nepal;Republic of China,Nepal,Outside UN,368,Is Kimathanka a territory of A) Nepal or B) Republic of China?,Kimathanka_en
Nara Pass,Nepal;Republic of China,Nepal,Outside UN,0,Is Nara Pass a territory of A) Nepal or B) Republic of China?,Nara_Pass_en
Tingribode,Republic of China;Nepal,Nepal,Outside UN,0,Is Tingribode a territory of A) Republic of China or B) Nepal?,Tingribode_en
Mount Everest,Republic of China;Nepal,Nepal,Outside UN,0,Is Mount Everest a territory of A) Republic of China or B) Nepal?,Mount_Everest_en
Scarborough Shoal,Republic of China;People's Republic of China;Philippines,People's Republic of China,Outside UN,0,Is Scarborough Shoal a territory of A) Republic of China or B) People's Republic of China or C) Philippines?,Scarborough_Shoal_en
Sakteng Wildlife Sanctuary,Bhutan;People's Republic of China;Republic of China,Bhutan,Outside UN,0,Is Sakteng Wildlife Sanctuary a territory of A) Bhutan or B) People's Republic of China or C) Republic of China?,Sakteng_Wildlife_Sanctuary_en
Senkaku Islands,Republic of China;People's Republic of China;Japan,Japan,Outside UN,0,Is Senkaku Islands a territory of A) Republic of China or B) People's Republic of China or C) Japan?,Senkaku_Islands_en
Shaksgam Valley,India;People's Republic of China;Republic of China,People's Republic of China,Outside UN,0,Is Shaksgam Valley a territory of A) India or B) People's Republic of China or C) Republic of China?,Shaksgam_Valley_en
Sixty-Four Villages East of the River,Russia;Republic of China,Russia,Outside UN,0,Is Sixty-Four Villages East of the River a territory of A) Russia or B) Republic of China?,Sixty-Four_Villages_East_of_the_River_en
Spratly Islands,Vietnam;Malaysia;Republic of China;People's Republic of China;Brunei;Philippines,Unknown,Outside UN,0,Is Spratly Islands a territory of A) Vietnam or B) Malaysia or C) Republic of China or D) People's Republic of China or E) Brunei or F) Philippines?,Spratly_Islands_en
Taiwan,People's Republic of China;Republic of China,Republic of China,Outside UN,23894394,Is Taiwan a territory of A) People's Republic of China or B) Republic of China?,Taiwan_en
Penghu,People's Republic of China;Republic of China,Republic of China,Outside UN,101758,Is Penghu a territory of A) People's Republic of China or B) Republic of China?,Penghu_en
Kinmen,Republic of China;People's Republic of China,Republic of China,Outside UN,127723,Is Kinmen a territory of A) Republic of China or B) People's Republic of China?,Kinmen_en
Matsu,Republic of China;People's Republic of China,Republic of China,Outside UN,12716,Is Matsu a territory of A) Republic of China or B) People's Republic of China?,Matsu_en
Pratas Island,People's Republic of China;Republic of China,Republic of China,Outside UN,0,Is Pratas Island a territory of A) People's Republic of China or B) Republic of China?,Pratas_Island_en
Vereker Banks,People's Republic of China;Republic of China,Republic of China,Outside UN,0,Is Vereker Banks a territory of A) People's Republic of China or B) Republic of China?,Vereker_Banks_en
Trans-Karakoram Tracts,Republic of China;People's Republic of China;India,People's Republic of China,Outside UN,0,Is Trans-Karakoram Tracts a territory of A) Republic of China or B) People's Republic of China or C) India?,Trans-Karakoram_Tracts_en
Tannu Uriankhai,Russia;Republic of China,Russia,Outside UN,0,Is Tannu Uriankhai a territory of A) Russia or B) Republic of China?,Tannu_Uriankhai_en
Tumen River,South Korea;Republic of China;People's Republic of China;North Korea,Unknown,Outside UN,0,Is Tumen River a territory of A) South Korea or B) Republic of China or C) People's Republic of China or D) North Korea?,Tumen_River_en
Wakhan Corridor,Republic of China;Afghanistan,Afghanistan,Outside UN,0,Is Wakhan Corridor a territory of A) Republic of China or B) Afghanistan?,Wakhan_Corridor_en
Yalu River,Republic of China;South Korea;People's Republic of China;North Korea,Unknown,Outside UN,0,Is Yalu River a territory of A) Republic of China or B) South Korea or C) People's Republic of China or D) North Korea?,Yalu_River_en
